,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ME_F1_106_c,ME_F1_108_d,ME_F1_203_a,ME_F1_204_a,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Vps4b,4.68322075,4.74218801,5.729890046,5.511967341,5.080562532,5.259452523,5.404129634,5.687613118,5.311955655,4.891739941,4.839544029,6.278595458,5.107170637,5.067865656,4.953445939,6.421684452,4.983983051,5.494478464,5.682011551,5.203751949,5.026528528,5.510610733
Vps50,4.813704698,4.74218801,4.8335115,4.986673129,5.304496398,5.221592487,4.881788998,5.511156552,4.850757634,5.251590418,4.973711621,4.808731913,4.885722465,5.17475555,4.885773069,4.404953494,4.646299803,5.346460756,5.056739454,4.098027721,4.406823512,4.945197493
Vps51,4.539751014,4.076672438,4.609927818,4.34424182,4.578610645,4.924463437,4.823402951,4.797293935,3.932490782,3.685558343,4.272792533,3.810984734,4.30405998,5.011296301,4.661330325,5.31403581,3.855538603,3.838977715,5.056739454,3.808366941,4.475533212,2.9932853
Vps53,3.882409289,4.076672438,4.68836933,4.045594184,4.578610645,3.857323664,3.578024412,4.122809418,4.492798065,4.207366795,4.047876135,4.741725074,4.550425269,4.274576358,3.80179745,3.869977924,4.568124372,3.838977715,4.600233637,4.26316196,4.258731964,4.118473069
Vps54,5.534913545,5.574172973,4.996542794,5.097516697,5.708841567,5.015780036,5.555284069,5.917434154,5.496945018,5.179021811,5.015797717,5.933041047,5.253463468,5.298110995,5.139277408,5.053898375,4.68385431,4.574999627,5.340069437,4.984689323,4.979987341,5.122614808
Vps72,5.242276092,4.909775724,5.397693262,4.927885035,5.355441186,5.101659137,5.322166451,5.414113968,5.34448174,5.38661718,5.412236884,5.255589543,5.000691317,5.61524155,4.953445939,5.31403581,4.646299803,4.435418855,4.488627598,4.88681567,5.278060465,4.668578083
Vps8,2.89756293,5.607071465,5.197668398,5.149900295,4.295222925,4.206483745,4.054830464,3.994421857,3.932490782,3.881222532,5.380375387,4.437426095,5.206328438,3.952801774,2.002706613,3.869977924,4.790986096,4.529956688,4.703822401,4.726303758,5.278060465,4.118473069
Vrk3,3.115641957,3.641285815,4.244972264,3.805470524,4.295222925,4.353763736,4.41258887,4.634513394,3.84426226,4.278557808,4.126809047,4.519726227,3.631909146,4.367647382,4.069168661,3.636124911,3.855538603,4.618678735,3.538029874,4.26316196,4.541118774,4.590260786
Vsig10,4.201287462,4.253317193,5.086192952,3.156674147,4.186875727,3.39572513,4.699025137,4.122809418,3.84426226,3.969926702,3.326085626,3.353240425,4.944351827,3.689920863,4.186310415,3.010317831,3.981518109,4.702259267,5.205348672,4.781815806,5.026528528,4.945197493
Vsir,4.201287462,4.167696694,4.526974853,4.628933804,4.295222925,4.609684367,4.937903776,4.240699416,4.549701013,4.346400422,4.839544029,4.741725074,4.211609673,3.61596875,4.069168661,6.326567571,3.855538603,3.30951081,4.367658392,4.007785157,3.693169672,4.419587897
Vta1,4.648668595,4.961574651,4.762764897,4.388516054,5.110530182,4.51895012,5.555284069,5.602080963,5.831222991,5.568064013,5.056690803,5.774463555,4.550425269,4.725073006,4.395420563,4.441729883,5.04297525,5.540625066,5.402988203,5.463448856,5.524969566,5.632857495
Vti1a,4.613268578,4.076672438,4.438959657,4.152161782,4.186875727,3.525689529,4.56290408,3.697269657,4.371781404,3.834737659,3.781300727,3.353240425,3.481655787,3.53802009,2.77549923,4.071159092,4.397788606,3.838977715,4.703822401,4.007785157,4.475533212,4.880854549
Vti1b,6.41405222,5.195875877,5.614092933,6.272057805,5.959930543,6.002262507,6.752593098,6.46963534,6.063884596,6.255667572,6.592939973,5.991893367,5.912094647,6.433298278,6.14442433,5.812265303,6.529921096,6.035545508,6.078754418,6.488823095,5.843646013,5.850074003
Vtn,4.293633377,4.253317193,3.89411593,3.930522402,3.80233416,3.95284941,5.043981545,3.853482834,4.492798065,3.459130587,5.015797717,4.257242644,4.760792148,4.455076358,4.395420563,4.071159092,4.568124372,4.435418855,3.928577685,3.911518911,4.406823512,4.118473069
Vwa8,6.434479217,5.790110439,6.117816022,6.363624294,5.66911918,6.150670028,5.817044551,4.872277635,5.278679309,5.623806554,5.412236884,6.773886246,5.789526221,6.49648621,6.023683266,5.867372997,6.610137036,6.35252811,6.745706217,6.979045474,6.343843797,6.69169833
Vwf,4.539751014,4.681701026,4.68836933,5.043159178,4.490191965,5.649916389,5.481685546,3.853482834,4.938601647,5.062828825,5.748076253,5.206736978,4.824609178,5.274269287,5.585611188,5.971649021,4.790986096,4.856161606,5.402988203,4.781815806,5.15776935,4.507446727
Wac,6.924228196,6.947970603,7.066361663,6.716084274,6.254326813,6.463348431,7.127080842,6.940887384,7.351934661,7.257701836,7.083196155,7.178217332,7.063782362,6.898552635,6.490344692,7.157836241,6.924401717,6.930870138,6.700586055,6.833351334,6.871565559,7.007591111
Wapl,6.494080156,6.42800254,6.675147738,6.940847369,6.895608264,6.926528788,6.252782264,6.540318497,6.541718589,6.585445947,6.477210245,7.102391365,6.755378046,6.90632945,6.63131834,7.177921177,6.488076113,6.633704095,6.420333874,6.802413556,6.728699137,6.53327463
Wars1,5.146470047,5.195875877,5.766511877,5.200448323,5.708841567,5.591744938,5.692092865,5.881584008,5.831222991,6.164637708,5.347794317,5.933041047,5.054913104,5.793550598,6.173094219,5.499893508,5.206727264,5.06002183,5.056739454,4.88681567,5.389089122,4.880854549
Wasf2,5.332114144,5.195875877,5.143007105,5.249285077,5.821840029,5.732998921,5.625309534,5.95931053,5.46771416,5.596204488,5.561773476,6.477036485,5.253463468,5.17475555,4.953445939,6.704933301,5.75759337,5.751514072,5.630357848,5.593239891,5.919593624,5.850074003
Wasf3,6.41405222,5.059906257,5.531386098,4.986673129,5.080562532,4.549833282,4.56290408,3.697269657,5.311955655,4.207366795,4.839544029,4.519726227,2.647580884,3.689920863,3.80179745,3.636124911,3.564834972,2.46423466,3.294292241,3.140443403,3.693169672,4.002304404
Washc1,6.727197819,6.332872286,6.575469673,6.041940132,5.196869963,6.474175983,4.15292432,4.634513394,5.1373226,4.845598174,4.742624044,4.157942973,6.425694307,6.49648621,6.432231661,6.346099253,6.207782122,6.098602179,5.576785861,6.348802136,6.325347675,6.009031922
Washc2c,5.870938682,5.87359916,5.871109591,5.386596534,5.959930543,5.67814554,5.659087595,6.019930596,5.660887361,5.827450595,5.589906926,6.392190577,5.620042602,5.826712592,5.746872293,5.867372997,5.75759337,5.790229872,6.259629872,5.65400407,5.458628493,5.422950345
Washc3,5.778085173,4.800240712,5.250334047,4.045594184,5.708841567,5.561755311,5.235264753,4.797293935,4.549701013,4.644685551,5.748076253,5.156172011,5.343350889,4.891034111,5.746872293,4.612739942,5.306403629,4.618678735,4.891045601,4.726303758,4.931894548,5.280583863
Washc4,5.096070484,5.279887525,5.250334047,4.927885035,5.821840029,5.221592487,5.44342868,5.881584008,5.227279854,5.418487688,5.209572408,5.633719413,5.157601271,5.067865656,5.251072387,5.053898375,4.304432686,5.266337807,5.017065684,4.668569942,4.856608862,5.177215762
Washc5,4.933359729,4.909775724,4.526974853,4.34424182,3.276495212,4.353763736,4.489703269,4.122809418,4.549701013,3.969926702,4.272792533,4.257242644,4.211609673,5.067865656,4.489608898,4.794332673,4.720455994,5.06002183,4.367658392,4.545671673,4.663970644,4.813507463
Wasl,5.986120578,5.846302918,5.443647949,6.272057805,6.309110877,5.43514467,5.786806479,6.316946411,5.78457271,6.164637708,5.47392358,6.155285714,5.655569634,5.689230009,6.201205451,5.754968733,6.044156848,5.540625066,5.999537626,5.84853685,5.919593624,5.7812394
Wbp1,4.68322075,5.506036074,5.301144654,4.986673129,4.740683721,5.182712068,4.991917395,5.011477698,4.433558258,4.473205151,4.691607738,4.741725074,5.206328438,5.225370277,5.01808618,5.464588233,5.487207574,5.397506087,5.274281034,5.463448856,5.071615104,5.329617021
Wbp11,6.372309528,6.633582068,5.766511877,6.174283445,6.256472814,6.109802494,6.458604839,6.115625698,6.469825492,6.542704423,5.935148853,6.687507137,6.486142464,6.321416488,6.383994702,6.545118956,6.283123866,6.775524899,6.479917071,6.69083677,6.380139501,6.512190138
Wbp1l,6.823276323,6.473314292,6.364714453,6.511086608,5.839841666,6.339259346,3.949577107,4.872277635,4.980596039,4.442533468,4.047876135,3.161478389,5.507889876,5.859129417,6.692010536,4.162122166,5.685369704,5.684448393,5.307550205,5.40560457,5.613917345,5.61318891
Wbp2,6.898726135,6.895671919,7.105053587,7.095755412,6.692653003,7.223273639,7.123092755,6.773365134,7.204684884,7.176156197,6.870309105,6.976902285,7.023559815,7.433229514,7.026473688,6.792960681,6.775809612,6.452467368,6.508810583,6.585584908,6.70027099,6.355283479
Wbp4,6.693695152,6.166274171,6.226963712,6.069397857,6.546847952,6.777931663,6.551458918,6.585587175,6.932509368,6.782000204,6.725656022,6.180805253,6.25090077,6.274115728,6.334088969,6.159995108,5.75759337,5.918095599,5.307550205,5.912110865,6.089899637,6.024005328
Wdfy1,6.118259945,5.952519554,6.089188201,6.407316542,6.384633245,6.374189668,6.621665842,7.104091624,6.330635714,6.437755862,6.521703844,6.048438707,5.427964816,5.759608368,5.451612065,5.464588233,6.258444556,6.272750888,6.039689667,6.521803407,6.742705869,6.61465997
Wdfy2,3.622418372,3.928368849,2.410505381,4.513727194,4.740683721,4.282002341,3.775729091,3.697269657,4.204669494,3.190427683,3.813153763,4.479162944,3.892314964,3.827340664,3.276012259,4.675844892,3.717496546,3.838977715,4.703822401,3.911518911,4.258731964,4.742861911
Wdfy3,3.882409289,3.198661826,3.601561341,4.513727194,5.196869963,4.422124133,4.003163431,4.122809418,4.055474018,3.685558343,3.454044779,4.394445745,4.624008971,4.537508414,4.661330325,5.100643839,5.206727264,5.494478464,4.703822401,4.411320956,4.093681527,4.590260786
Wdr1,5.929678811,6.075157222,5.729890046,6.013949668,5.857621447,6.321471831,6.06396554,5.46345105,5.898486477,5.754410862,5.644579599,6.10285113,5.821158305,5.921856459,5.497675257,6.266334011,5.923759905,5.711730587,5.999537626,6.1937162,5.790698038,5.97861067
Wdr11,5.043846313,5.011578056,4.438959657,5.471375667,4.954049872,4.970844111,5.404129634,4.872277635,4.657186434,4.797931756,4.839544029,4.872764222,4.00677991,5.274269287,5.01808618,5.812265303,4.397788606,5.238609844,4.600233637,4.835270768,4.777177112,5.177215762
Wdr12,4.462284998,4.856047509,4.867624976,4.34424182,4.395998511,3.95284941,4.372428776,4.060043341,5.118637917,4.936451576,4.691607738,4.051300032,4.915334954,4.455076358,4.81476895,3.010317831,5.099649705,4.0451141,4.934287001,4.984689323,4.572826335,4.847573953
Wdr13,6.143295166,5.87359916,5.653733701,5.801153754,6.309110877,5.621123838,5.904132495,5.46345105,5.760669425,5.827450595,5.867807015,5.302841901,5.157601271,5.859129417,5.70821522,5.428397257,5.306403629,5.711730587,5.132956711,5.320816487,5.735732555,5.593248468
Wdr18,6.092782602,5.926689492,6.468390154,5.956284923,6.024316018,5.898107044,5.555284069,5.197935486,5.78457271,5.803512544,6.158223986,5.705807115,5.427964816,5.826712592,5.497675257,5.754968733,6.072749159,5.540625066,5.463277246,5.320816487,5.790698038,5.229825396
Wdr26,6.920612528,7.023027044,6.645960711,6.948261486,7.042746538,7.039643307,6.595736965,6.763550103,6.583195323,6.528171147,6.415666958,6.871145788,6.787759343,7.018214936,6.903543715,6.889299511,6.93222469,6.794693141,7.21766319,6.868006628,7.099064617,6.737838576
Wdr3,4.539751014,4.483351203,4.244972264,3.930522402,4.815367332,4.206483745,5.142791048,5.13842084,4.307240435,4.346400422,4.638721061,5.103770221,4.694021019,4.455076358,4.069168661,4.903823369,4.568124372,3.979620845,4.800468942,4.33914254,3.804193017,4.742861911
Wdr33,4.462284998,4.618566641,4.900950414,4.665378488,4.954049872,4.126792675,4.762553989,5.13842084,4.339871805,4.473205151,4.340594321,4.741725074,5.000691317,4.82692198,4.489608898,5.31403581,5.206727264,5.446806885,5.463277246,5.24383822,4.406823512,5.229825396
Wdr37,4.539751014,4.167696694,3.755241616,4.431471934,4.490191965,4.206483745,3.646980517,4.240699416,3.932490782,3.969926702,3.781300727,3.260543174,4.00677991,4.615483991,4.395420563,5.005587422,4.720455994,5.181502053,5.274281034,4.608429072,5.198990914,4.813507463
Wdr41,4.462284998,3.979516106,4.020788144,3.668541594,5.196869963,4.042440962,4.699025137,4.451002368,4.307240435,5.215762348,4.691607738,5.156172011,4.472885814,4.952417966,4.777911925,4.850116471,4.720455994,5.06002183,5.132956711,4.545671673,4.663970644,4.880854549
Wdr43,6.013534441,5.23849314,6.117816022,5.833543207,5.404648189,5.95689685,5.755921042,6.052539355,5.482403619,5.850997926,5.589906926,6.278595458,5.821158305,5.689230009,5.668493743,6.181899188,5.923759905,5.935470993,6.039689667,5.795580263,5.817414916,5.883297636
Wdr44,4.989660443,5.10666787,4.526974853,5.149900295,5.139887991,5.561755311,4.41258887,5.310070062,4.708068048,4.532658976,5.314460419,5.557839351,5.299107122,4.68946033,5.01808618,5.053898375,5.487207574,5.900508387,6.293234702,5.463448856,5.763477048,5.510610733
Wdr45,6.192098817,6.051449529,6.226963712,6.199355242,5.959930543,6.130380964,6.274737186,6.176068584,5.9416474,6.390330521,5.821100206,6.456288205,6.486142464,6.537124538,6.432231661,6.159995108,6.57058651,6.452467368,7.070383802,6.253843817,6.306611339,6.672820962
Wdr45b,4.87477236,5.23849314,4.438959657,5.296522642,4.395998511,4.826973959,5.363730031,4.943555875,4.433558258,4.346400422,4.272792533,5.705807115,5.620042602,5.225370277,4.578023067,5.273808035,5.154181675,5.238609844,5.132956711,5.076342888,5.588393646,5.065865839
Wdr48,4.749937417,5.320127258,5.250334047,5.097516697,3.647418746,4.549833282,4.632569424,4.545673745,5.209731547,4.891739941,5.172843846,5.518348248,5.507889876,5.067865656,4.740088558,5.499893508,5.75759337,5.540625066,5.340069437,5.76835472,5.735732555,5.708955251
Wdr5,4.989660443,4.800240712,4.900950414,4.986673129,4.740683721,5.182712068,4.331118661,4.122809418,4.895348127,3.881222532,4.047876135,4.872764222,4.944351827,4.68946033,4.578023067,5.100643839,4.858228257,5.181502053,4.800468942,4.668569942,4.663970644,4.668578083
Wdr61,5.712687236,5.926689492,6.328431417,5.699379581,5.747499503,5.732998921,5.786806479,5.076345039,5.78457271,5.623806554,5.380375387,5.807604182,5.757185005,5.61524155,5.959298987,5.664517271,6.42294101,5.900508387,5.871906941,6.214038454,6.432926315,6.355283479
Wdr7,5.437074349,4.909775724,5.350226465,5.68169667,6.0859504,5.080663851,4.881788998,5.645480809,5.58124366,5.650890428,5.245389091,5.477745653,5.565055786,5.433435796,5.109920594,4.612739942,4.720455994,4.435418855,3.928577685,4.411320956,4.979987341,4.507446727
Wdr70,5.195168206,5.195875877,4.933523402,4.927885035,4.661921909,5.052042418,5.142791048,5.511156552,5.407413337,5.2337876,5.056690803,4.90374523,5.054913104,4.68946033,4.975099004,4.274847137,5.232299381,4.819197664,4.976269969,4.638812867,5.42427775,4.778617063
Wdr74,5.375018829,5.195875877,4.762764897,5.043159178,4.661921909,4.924463437,4.823402951,4.634513394,5.099708065,4.532658976,4.930360809,5.392942691,5.583618564,5.321565096,4.953445939,5.273808035,4.720455994,5.06002183,5.056739454,4.88681567,5.115335247,4.945197493
Wdr75,4.613268578,4.74218801,4.762764897,4.866599258,5.747499503,4.826973959,5.846661839,5.13842084,5.634824947,5.38661718,5.209572408,4.992885909,5.157601271,4.615483991,4.395420563,4.612739942,5.353772878,4.927364131,5.132956711,5.429090864,5.071615104,4.945197493
Wdr77,5.958175695,6.551453133,6.512180203,5.926564541,5.304496398,6.130380964,6.184838706,5.76835694,6.541718589,6.667308052,6.120146923,6.230528761,5.912094647,5.98196945,6.173094219,5.428397257,6.331250967,6.990272463,6.564917498,6.81577292,6.837120647,6.746892153
Wdr82,6.588249787,6.657335931,6.69428279,6.880121468,6.296130316,6.482203624,6.338665766,6.713447626,6.900053096,6.542704423,6.383881963,6.392190577,6.553606049,6.715912774,6.63131834,6.828110505,5.232299381,5.397506087,4.891045601,5.223934308,5.093640784,5.353522499
Wdr83os,5.870938682,6.051449529,5.83707939,5.589877169,5.304496398,5.785842865,6.317669428,5.687613118,6.700917547,6.273204051,6.081037586,5.435967182,5.546251049,5.274269287,5.668493743,5.996581519,5.721933444,6.339534507,6.019753327,5.912110865,6.44153935,6.038824924
Wdtc1,7.412734365,7.461176289,7.215135028,7.186322202,7.162018651,6.854142562,7.407721892,7.134872109,7.141302062,7.231028831,7.206430895,6.932523842,7.393331676,7.067599877,7.010675737,6.979605854,7.128844962,6.794693141,6.326074557,6.733695614,6.862999063,6.728727825
Wee1,5.572263999,4.909775724,4.609927818,4.986673129,4.395998511,4.876542017,2.118264601,4.90835691,4.78117621,4.278557808,3.185662771,4.808731913,4.550425269,4.82692198,5.079953979,5.725443896,5.985213945,5.670818855,5.871906941,4.984689323,5.492180325,5.229825396
Wfdc1,5.496570353,3.014743213,6.226963712,4.665378488,2.002940107,5.142754739,4.56290408,2.473655,3.004024858,2.430562715,2.42710632,4.350145515,3.892314964,4.274576358,5.668493743,4.162122166,3.200381863,2.803983438,4.235609909,3.140443403,2.219429685,2.399246957
Wfs1,4.201287462,4.410673645,4.020788144,4.431471934,4.954049872,3.64490757,3.949577107,4.122809418,4.604444493,4.05349137,4.526750171,3.353240425,4.472885814,4.367647382,4.489608898,4.071159092,6.155275647,6.098602179,5.731879612,6.214038454,5.735732555,5.850074003
Wipf1,4.380422216,3.979516106,4.900950414,5.097516697,4.701840234,4.72241615,4.881788998,4.718198281,4.804744872,4.797931756,4.201646476,6.651453402,5.000691317,4.759827724,4.740088558,7.313078962,4.304432686,4.529956688,4.600233637,4.33914254,4.541118774,5.377038311
Wipf3,4.462284998,4.552542462,4.8335115,4.591544559,4.661921909,4.353763736,5.518954082,4.634513394,5.1373226,5.874167086,5.412236884,4.437426095,4.885722465,4.455076358,4.069168661,4.162122166,6.233335714,5.711730587,5.132956711,6.1937162,5.619089835,6.038824924
Wipi1,5.840646706,5.818480246,6.05998079,5.865221434,6.432870875,6.597547577,6.688614197,5.952415002,6.394161025,6.667308052,6.775502735,6.129306625,6.340943118,6.49648621,6.711686843,5.996581519,6.509150312,6.675666619,6.450433048,6.311565419,6.362105788,6.574541113
Wipi2,6.118259945,5.87359916,6.117816022,5.734108179,4.661921909,5.785842865,5.404129634,5.695893915,5.388820408,4.748636477,5.245389091,6.02044305,6.078390588,6.095165869,5.891906612,6.092213873,5.685369704,5.494478464,6.078754418,6.273342082,6.209096062,6.0680151
Wls,5.608671827,5.900388524,5.397693262,5.768020403,5.586234643,5.649916389,6.038526338,5.881584008,5.920228338,5.963292963,5.748076253,5.255589543,5.343350889,5.225370277,5.821211225,5.053898375,5.721933444,5.935470993,6.116789215,5.822301525,6.147257632,5.7812394
Wnk1,8.014320483,7.420111343,7.769315739,8.016547707,8.608708039,8.156578126,8.115734515,8.301880297,8.196436544,8.323275073,8.101476755,8.141683576,8.137181547,8.193660637,7.6788499,7.95523135,7.736506226,7.387467069,7.593075942,7.642982337,7.352995178,7.715638524
Wnk2,7.577929327,7.023027044,7.353966969,7.082340387,7.762061691,6.949872328,7.743073238,7.632237811,7.650709474,7.825623063,7.369492742,7.413503828,7.382770978,7.067599877,7.284727546,6.875924469,6.810177853,6.886890689,7.08963719,6.930746711,7.329985337,6.672820962
Wnt11,4.201287462,4.483351203,3.89411593,5.043159178,3.647418746,4.282002341,3.949577107,4.451002368,4.307240435,3.969926702,3.5715735,3.522478242,4.390941013,3.53802009,4.294650838,3.757784526,4.204615229,4.225445805,3.746479132,3.576893918,4.258731964,3.412839399
Wnt4,5.496570353,4.618566641,6.030169834,5.699379581,5.628272056,5.811556277,5.590721621,5.197935486,5.608283039,5.179021811,5.748076253,4.597583751,5.000691317,4.82692198,5.497675257,4.071159092,4.983983051,4.334248956,4.703822401,5.162519943,5.316027384,5.122614808
Wrap73,4.201287462,3.641285815,4.020788144,4.251396128,3.80233416,3.755021493,3.712790546,3.853482834,4.239676365,3.881222532,3.875739026,3.522478242,4.390941013,3.952801774,4.069168661,4.247688532,4.983983051,4.107762856,3.000833825,4.545671673,4.093681527,4.118473069
Wrnip1,4.201287462,4.681701026,5.086192952,4.251396128,5.586234643,4.353763736,4.632569424,4.545673745,4.604444493,4.748636477,4.839544029,4.872764222,4.472885814,5.067865656,5.196257506,5.273808035,4.720455994,4.435418855,4.488627598,5.03124382,4.603851987,4.945197493
Wsb1,2.640545692,4.076672438,3.429537117,3.517240473,6.115807491,4.970844111,5.043981545,5.011477698,3.750284592,3.685558343,4.126809047,4.67145383,2.647580884,3.175742315,2.440240046,3.503253236,2.976575554,3.30951081,3.538029874,2.221707554,2.508881987,3.218260367
Wsb2,6.597337309,6.617526059,6.616170989,6.663001599,6.408953659,6.339259346,6.399881342,6.354046326,6.484493579,6.751045008,6.423504981,6.254762282,6.581580434,6.742222008,6.912073072,6.159995108,6.610137036,6.76584442,6.670981214,6.593362923,6.611462572,6.554055414
Wwc3,5.457180207,5.195875877,5.027049378,5.663794331,6.256472814,5.43514467,5.363730031,5.807095111,5.853994388,5.320682925,5.533080478,4.741725074,5.206328438,5.454805403,5.354823889,5.189822454,4.720455994,5.122040199,4.703822401,5.203751949,5.198990914,4.590260786
Wwp1,9.396207905,9.521601637,9.304424439,9.181196685,9.592018683,8.794709783,9.689654985,10.11144016,9.142295215,9.508159293,9.569334279,8.905596431,9.432691693,9.113607332,8.871243087,8.565689396,8.797910963,8.959612663,8.688139008,8.648622137,8.594173953,8.508058303
Wwtr1,4.380422216,4.74218801,4.762764897,5.097516697,4.88637436,5.401676334,5.724359913,5.414113968,5.34448174,5.215762348,5.056690803,5.103770221,4.112826886,5.17475555,5.821211225,5.695302184,6.072749159,5.181502053,6.039689667,5.973001259,5.492180325,5.97861067
Xbp1,6.569901191,6.332872286,6.533586673,6.385635815,6.502331729,6.816540288,6.915175803,6.672073896,6.623512872,6.976528681,6.674025225,6.456288205,6.562991244,6.967079395,7.042100518,6.719982598,6.072749159,6.299836427,6.326074557,6.130973232,6.415544432,5.97861067
Xdh,5.375018829,4.909775724,5.83707939,5.801153754,4.578610645,6.669619348,4.56290408,5.310070062,4.239676365,5.703578958,4.638721061,7.005747215,6.635952677,6.225211422,7.102968264,6.704933301,5.206727264,4.9952172,5.630357848,4.936582317,4.258731964,4.742861911
Xirp1,6.588249787,7.258671478,7.637122666,8.648819576,7.581265047,9.777511932,8.0662403,8.871516185,8.973195813,9.699468647,8.816719391,7.424227489,7.455122177,8.521921998,9.508012717,8.544711419,7.307880072,7.479182259,6.816750661,6.676262801,4.931894548,6.46907358
Xirp2,12.07862949,11.81238624,12.16630865,12.17989514,11.60130545,12.51929369,11.80511184,11.94108451,11.91449033,12.30046245,11.60430134,11.69606771,12.04572746,12.44905635,12.33336599,11.56513825,12.04824658,11.63021047,11.9639291,11.8970672,11.72295707,12.12844548
Xpc,3.758262607,2.258666846,3.234188542,3.348192456,4.069726052,3.755021493,3.578024412,4.718198281,2.407359846,3.786704995,3.5715735,4.437426095,3.631909146,2.369373484,3.94166812,4.736304858,3.855538603,3.979620845,4.600233637,4.726303758,4.603851987,4.507446727
Xpnpep1,4.813704698,4.483351203,3.89411593,3.668541594,4.88637436,4.876542017,4.41258887,4.718198281,4.938601647,4.207366795,4.742624044,4.934074901,4.550425269,4.68946033,4.740088558,4.477592046,3.564834972,4.781261694,4.703822401,4.480059673,4.830614526,4.507446727
Xpo1,5.90060768,6.039447969,5.614092933,6.16158224,6.760377854,5.991054128,6.125667641,6.420512928,6.297792365,6.057388883,6.139311072,6.302041303,5.941176112,6.527071769,5.925996275,6.346099253,5.792393089,5.628713009,6.078754418,5.973001259,5.557030111,6.082391656
Xpo5,4.102623853,4.909775724,4.438959657,4.665378488,5.018692524,4.042440962,4.41258887,5.557334942,5.099708065,4.278557808,4.583821633,4.67145383,4.694021019,4.068219951,4.395420563,5.005587422,4.568124372,4.618678735,5.132956711,4.33914254,4.33467709,5.122614808
Xpo7,5.778085173,5.574172973,5.83707939,5.627309096,6.334726794,5.979757987,1.371671746,3.322602624,1.804663645,2.155940861,2.42710632,2.940262517,5.253463468,5.826712592,5.72767323,5.232426304,4.983983051,5.238609844,5.205348672,5.65400407,5.42427775,5.593248468
Xpot,5.496570353,5.470721589,5.350226465,5.627309096,6.201841237,5.531129025,6.533360054,6.176068584,5.736363417,5.568064013,6.120146923,5.774463555,5.364974144,5.634097429,5.668493743,5.933423273,5.399636128,5.751514072,5.915717118,6.019928358,5.458628493,5.97861067
Xrcc4,5.416684325,5.151961278,4.8335115,5.043159178,3.647418746,5.101659137,4.244770951,4.349679511,4.168792015,4.278557808,4.405352173,4.051300032,4.824609178,5.011296301,5.139277408,4.794332673,5.569766264,5.346460756,5.576785861,4.936582317,5.492180325,5.7812394
Xrcc6,5.572263999,4.800240712,5.027049378,5.097516697,5.304496398,5.785842865,5.322166451,4.797293935,4.492798065,5.062828825,5.561773476,5.557839351,4.824609178,5.759608368,5.451612065,5.189822454,4.858228257,4.927364131,5.056739454,5.076342888,4.979987341,5.0067929
Xrn1,6.676647475,6.188181795,6.05998079,5.985405385,6.631960099,6.266754319,6.379763382,6.517140107,6.610198488,6.374169185,6.367722945,6.94746885,6.466273171,6.095165869,5.925996275,6.56192095,5.826373125,6.159017828,6.039689667,6.330303912,6.037911781,6.447022252
Xrn2,5.496570353,5.607071465,4.96537717,5.511967341,5.926627191,5.861647755,5.986261331,5.414113968,5.278679309,5.650890428,5.722889797,6.302041303,5.507889876,4.759827724,5.01808618,6.3843868,5.859571207,6.159017828,5.630357848,5.822301525,6.015011718,5.816067196
Yae1,3.758262607,3.979516106,3.601561341,3.805470524,4.069726052,2.476154981,3.263597469,3.853482834,3.424878207,3.459130587,3.680244816,3.522478242,3.313914974,3.53802009,3.473339605,3.503253236,3.981518109,4.225445805,3.294292241,3.911518911,4.541118774,4.590260786
Yaf2,8.00068613,7.958494586,8.209184117,7.480281767,7.799337472,8.335610349,8.316934945,8.553289457,8.380224717,8.476847567,7.930502168,7.950925689,8.183552496,7.552010231,8.137401835,7.31803275,7.395371848,7.430993972,7.34056191,7.712481979,7.619068605,7.289570452
Yap1,5.793981727,5.470721589,6.04515231,6.223998762,5.380254469,6.248044049,5.44342868,5.168485032,5.080526525,5.102608715,4.862789779,4.157942973,5.253463468,5.576773956,5.746872293,4.706391569,5.071590758,5.422367069,5.780081376,5.320816487,5.619089835,5.229825396
Yars1,5.043846313,4.410673645,5.250334047,4.986673129,5.139887991,5.221592487,5.279369826,5.197935486,5.608283039,4.797931756,4.885666909,4.597583751,5.468480755,5.011296301,4.81476895,4.32846284,4.858228257,4.435418855,5.274281034,5.03124382,5.278060465,4.880854549
Yars2,6.26234182,6.601289346,6.328431417,6.470469795,5.355441186,5.499838461,5.363730031,5.881584008,6.194522788,5.827450595,5.867807015,5.933041047,6.61805532,6.689114834,6.455758512,6.045189952,6.354725553,6.002952602,6.153846978,6.253843817,6.343843797,5.947534101
Ybx1,9.350448564,9.939787655,9.530380963,9.473920905,9.592071788,9.326145819,9.74462981,9.567110684,9.869676494,9.93241969,9.837135141,9.762689468,9.511320474,9.747697958,9.837067374,9.24319032,9.527899514,9.386368543,9.001918313,9.308864655,9.334749007,9.436289406
Yeats4,5.388901902,5.639236451,5.531386098,5.216747906,5.404648189,5.499838461,5.555284069,5.687613118,5.34448174,5.779170588,5.644579599,5.557839351,5.107170637,5.067865656,5.497675257,4.675844892,6.072749159,6.299836427,5.463277246,5.593239891,5.843646013,5.510610733
