,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ML_F1_10_a,ML_F1_201_d,ML_F1_205_b,ML_F1_205_c,ML_F1_208_b,ML_F1_8_c,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Rbbp9,3.47244071,3.979516106,4.137230398,4.185669484,3.80233416,3.64490757,4.632569424,4.349679511,3.004024858,3.331025876,4.885666909,3.161478389,4.632493393,5.305807644,4.3393853,4.987284647,4.763639103,4.939232595,4.204615229,4.107762856,3.746479132,4.301652389,3.907279642,3.584266797
Rbck1,3.882409289,3.763054927,3.601561341,3.517240473,4.661921909,3.64490757,3.949577107,3.994421857,4.492798065,4.132479623,3.781300727,4.597583751,4.706569482,4.670871519,4.89483884,4.610955628,4.418295126,4.056055878,3.981518109,3.508380306,4.235609909,4.098027721,4.406823512,4.118473069
Rbfa,3.996714223,4.334139738,4.438959657,4.152161782,4.295222925,3.95284941,4.489703269,4.240699416,4.015633207,3.969926702,4.340594321,3.522478242,3.382487861,4.567556256,3.596298156,4.522291406,4.909564136,3.506727023,4.646299803,4.107762856,3.928577685,4.411320956,4.72168399,4.945197493
Rbfox1,9.110675212,9.028913333,8.955705479,8.783406208,9.060260431,8.866999775,8.94752255,9.370593041,9.233038555,9.151932887,9.026823283,8.947084824,8.243932726,8.38930087,8.585804163,7.788385302,8.311731132,8.191260809,9.151213642,9.194226971,8.999375519,8.932353731,9.023623183,9.078883529
Rbfox2,6.013534441,6.121434916,5.350226465,5.768020403,6.611148157,5.67814554,6.230488062,5.511156552,5.46771416,5.650890428,5.79716724,6.55716849,6.166913747,6.848642594,6.779791498,6.537534574,6.198220751,6.319073652,6.550397079,7.206079752,7.398373131,6.554046601,6.432926315,7.295752963
Rbis,6.659395942,6.726337337,6.445986394,5.551448111,6.652476079,6.655490154,6.317669428,6.939493214,6.610198488,6.599416286,6.120146923,6.10285113,2.378891492,2.120376957,2.407074161,3.072792283,1.371671746,2.608633188,6.220615494,6.804182597,6.683707263,6.03142545,6.508652818,6.61465997
Rbl2,6.517247775,6.144028738,5.968633758,5.627309096,6.145059186,5.95689685,5.87568332,5.76835694,5.760669425,5.480191275,5.671158109,6.537548875,5.633248294,5.836915418,6.416739026,5.743294938,5.732989453,5.741607842,6.014986397,6.035545508,6.225223575,5.899618205,5.968091382,5.947534101
Rbm10,5.287894293,5.639236451,4.345223994,5.043159178,5.49829648,4.206483745,4.823402951,5.363029738,4.938601647,4.697597062,4.4673277,5.557839351,5.594753749,5.240129633,5.391412504,4.848300119,5.652348351,4.939232595,4.858228257,5.790229872,5.731879612,4.781815806,4.979987341,5.632857495
Rbm15,4.421934171,4.518361592,4.345223994,4.866599258,4.815367332,4.085233217,4.104710949,5.282842887,3.750284592,4.671383862,3.829292475,4.304441765,3.189329564,3.980984899,3.512933573,4.100427122,3.583113537,3.264657852,4.790986096,4.961689538,4.600233637,3.808366941,4.136747852,4.173228056
Rbm17,6.838685258,6.908925398,6.812832467,6.449724367,7.118438924,6.697469264,6.533360054,6.990873961,7.07500613,6.706560631,6.578971366,6.839448924,6.940359173,7.014963952,6.994763787,6.708021056,6.677222224,6.777289179,6.550397079,6.428124066,6.769778524,6.521803407,6.59611476,6.378770837
Rbm18,7.391994913,7.35865237,7.55576324,7.706987171,7.176257517,7.403160307,7.470896008,7.632237811,7.539213471,7.322303495,7.76145839,7.148389328,7.000492614,6.975146452,6.815021603,6.29148579,6.481049885,6.440702743,7.087408815,6.990272463,6.670981214,6.990871678,7.009218652,6.634308646
Rbm19,3.996714223,4.483351203,4.526974853,4.152161782,2.775909185,3.857323664,4.244770951,3.522064715,4.307240435,4.05349137,3.781300727,4.67145383,4.844203419,4.767279962,4.015164667,4.326724518,4.977340722,4.452940978,5.04297525,4.856161606,4.235609909,4.936582317,4.178565768,4.813507463
Rbm20,5.870938682,6.446298369,7.031727535,6.644864289,7.91423306,7.563083503,7.90315412,7.642984637,6.910953184,7.801654416,7.707909919,6.180805253,6.725571373,6.224252414,5.723524622,6.625294697,6.987733446,6.951124843,5.826373125,6.272750888,5.958236032,5.899618205,5.316027384,5.74554999
Rbm22,5.416684325,5.775713552,5.904355553,5.734108179,5.304496398,5.635591941,5.932031498,5.844820255,6.063884596,6.097316994,5.97835816,5.370939521,5.588106297,5.542165967,5.892355973,5.909831112,5.21094546,5.269823218,5.5896883,4.9952172,4.934287001,5.480325805,5.198990914,5.652261536
Rbm24,7.591636481,7.734885169,7.480603931,7.540384391,7.714070359,7.139463122,7.485090013,7.888524601,7.478227327,7.614840568,7.319962365,7.324718093,7.76960793,8.151003198,8.148334112,7.659200217,7.777681996,7.419052198,7.7848322,7.983890354,7.907067769,7.657894657,7.520888709,7.909521613
Rbm25,7.091135847,7.145655083,6.855954481,7.312329546,6.912717872,7.001053951,6.926314967,7.550463597,6.743370328,7.041417825,6.56911224,8.026766363,5.777710078,6.224252414,6.346241137,6.090294113,5.846081812,5.693471543,6.900675013,7.792158736,7.531049441,7.33502433,7.17333687,7.630148996
Rbm26,5.644183438,5.818480246,5.83707939,6.013949668,6.611148157,5.732998921,6.038526338,6.356660168,5.496945018,5.827450595,6.040838441,6.633082932,5.292010108,6.429706619,5.830690552,5.620530825,5.566931456,5.425276811,5.353772878,5.563156393,5.463277246,5.593239891,4.72168399,5.229825396
Rbm27,5.457180207,5.87359916,5.729890046,5.734108179,6.384633245,5.367413106,5.932031498,6.289849923,6.004060231,5.941522344,5.79716724,6.278595458,4.706569482,5.171318459,5.607754837,4.694484842,5.693232269,5.167817839,5.75759337,5.670818855,5.682011551,5.76835472,5.441555356,6.152200925
Rbm28,5.043846313,4.410673645,5.143007105,4.431471934,5.080562532,4.549833282,5.043981545,4.451002368,5.376290653,5.320682925,5.280338078,5.435967182,3.842898754,3.898238637,4.3393853,3.072792283,3.963366263,3.076292032,5.444086196,5.293542885,4.891045601,5.320816487,5.316027384,5.510610733
Rbm3,6.939744584,7.143750458,6.756232491,6.169977569,6.550569245,6.140561162,6.125667641,7.194530339,6.378540003,6.422119999,6.167588271,6.807039986,6.179974597,6.635293156,7.047557458,6.357042455,6.549447719,6.334849995,2.386653508,2.018997946,2.135319246,1.858409626,1.856944956,1.371671746
Rbm33,5.195168206,5.790110439,4.900950414,5.429608761,6.408953659,5.182712068,5.590721621,5.986567715,5.553687807,5.480191275,5.314460419,6.595624979,4.908390454,5.836915418,5.864713676,4.987284647,5.220486774,5.302282889,4.922475423,6.217004818,6.116789215,5.561870312,5.071615104,5.377038311
Rbm34,4.201287462,4.552542462,4.526974853,4.251396128,5.018692524,4.282002341,4.56290408,4.122809418,4.492798065,3.881222532,3.964373405,5.049393112,5.385179267,4.94268665,5.437354286,5.23056825,5.042075585,4.854212702,4.983983051,4.9952172,4.703822401,4.88681567,4.830614526,4.742861911
Rbm38,5.986120578,5.952519554,6.340627433,6.352491301,5.628272056,6.209879427,7.086322637,6.672073896,6.964251508,6.954958372,6.980675829,6.705201662,8.206127413,8.119387649,8.326747371,8.125862684,8.496321142,8.505413785,6.775809612,6.696198884,6.927896445,7.037230267,6.900966603,6.331407405
Rbm39,6.883948543,6.99843956,7.016604255,7.122216942,7.423091964,7.16462268,7.216797327,8.189081738,7.51441295,7.31808556,7.122247804,7.98753788,6.861486618,6.635293156,6.849411869,6.805174187,6.549447719,6.694112081,6.488076113,7.531537133,7.558946501,6.521803407,6.777139059,6.940832495
Rbm41,5.644183438,4.552542462,5.086192952,5.149900295,6.309110877,5.202283251,5.817044551,6.420512928,5.061086514,5.568064013,5.347794317,5.518348248,6.09150397,6.354108026,6.628591276,5.495685386,5.899468393,5.602559297,5.399636128,5.969606316,5.731879612,5.529803451,5.524969566,5.883297636
Rbm42,6.659395942,7.08272267,6.636098992,6.663001599,6.590031586,6.655490154,6.379763382,6.585587175,6.750305679,6.468528207,6.70007158,6.739952662,6.934205643,6.387860425,6.973872815,6.814539139,6.814559079,6.875478958,6.488076113,6.272750888,6.189976647,6.646665612,6.380139501,6.69169833
Rbm5,6.180051805,5.990417701,6.445986394,6.174283445,6.652476079,6.013384479,6.166166697,6.773365134,6.346781196,5.754410862,5.844642617,7.336119753,1.961451423,2.610805952,3.003647009,2.015882001,1.371671746,2.118851082,5.685369704,6.904643672,6.259629872,6.183446705,6.380139501,6.257312648
Rbm6,5.195168206,4.681701026,4.762764897,5.249285077,5.586234643,5.059358506,4.823402951,5.438993401,4.850757634,4.845598174,4.526750171,5.933041047,1.371671746,1.371671746,1.980332119,1.371671746,1.371671746,1.371671746,4.858228257,5.238609844,4.976269969,5.393894627,5.15776935,5.510610733
Rbm8a,7.011794642,6.868794007,6.655755476,6.680913717,7.190357224,6.612252846,7.417622869,7.411183154,7.290658234,7.384135948,7.52693716,6.855384404,6.451736597,6.596452986,6.461893718,6.491567833,6.457510512,6.644336576,7.128844962,7.234433858,6.696322037,7.104089337,7.25378618,6.782548783
Rbms1,5.287894293,5.846302918,5.83707939,6.511086608,6.731741308,6.339259346,6.338665766,6.445283195,6.284442773,6.330109843,6.431300651,7.324718093,6.085963674,6.944545144,7.025167736,6.931054902,6.717416939,7.087746298,6.072749159,5.935470993,6.293234702,5.740605498,6.015011718,6.23174392
Rbms2,4.749937417,5.151961278,5.301144654,5.589877169,4.395998511,6.002262507,4.762553989,4.349679511,5.099708065,4.891739941,4.340594321,5.774463555,5.594753749,5.697054976,4.521035128,5.92720207,5.652348351,5.643673547,6.014986397,5.346460756,5.871906941,5.822301525,5.15776935,5.593248468
Rbms3,3.758262607,3.641285815,4.020788144,4.431471934,4.88637436,3.857323664,3.836036295,4.545673745,4.549701013,4.132479623,4.272792533,4.051300032,4.084308414,5.099060147,4.43306727,4.694484842,4.909564136,4.332383444,3.200381863,4.334248956,3.928577685,4.098027721,3.804193017,4.507446727
Rbmx,4.87477236,5.011578056,4.020788144,3.805470524,5.196869963,4.206483745,4.699025137,5.728549833,5.021402542,4.979819072,4.201646476,5.840000589,3.842898754,4.857647467,6.13943947,4.47582847,4.684740347,3.390763578,4.790986096,5.935470993,5.463277246,4.936582317,5.239067316,5.708955251
Rbp7,1.371671746,3.361762895,3.429537117,4.513727194,3.942216125,5.401676334,5.094232058,5.728549833,4.980596039,4.936451576,4.4673277,5.518348248,3.189329564,3.509641011,3.424454831,3.6762367,2.453929711,3.713955523,5.75759337,5.585341241,4.488627598,4.007785157,3.907279642,4.002304404
Rbpj,6.013534441,5.846302918,5.443647949,6.318567382,6.408953659,6.248044049,5.99950616,5.917434154,6.092891506,5.839272302,6.351380885,5.933041047,6.494184267,6.29064075,6.915826657,6.318066982,6.359313328,6.262456903,5.954814117,5.628713009,5.682011551,5.899618205,5.678589703,5.97861067
Rbpms,2.640545692,3.014743213,3.429537117,4.34424182,5.196869963,4.826973959,4.881788998,5.363029738,4.371781404,4.644685551,5.999487006,5.348595566,2.378891492,2.120376957,1.371671746,2.459655242,2.011990664,2.608633188,4.304432686,3.838977715,4.488627598,4.098027721,4.406823512,4.507446727
Rbx1,7.231994719,7.289399916,7.377834124,7.221381992,6.97105239,7.213662569,7.086322637,7.265792933,7.410714152,7.597543455,7.242324691,6.748511177,7.160600554,7.091446444,7.040132759,6.842274682,7.310351734,6.991497363,6.354725553,6.956628338,6.765714465,6.546053108,6.59611476,6.024005328
Rc3h1,5.809705031,6.051449529,6.554680156,5.896219,7.258859991,6.803785205,7.427456361,7.653652,6.306073563,6.307650193,6.284096102,6.886736839,6.575507139,6.95481787,7.371246031,6.667250752,6.69745956,7.011267708,5.75759337,6.775524899,6.670981214,6.173103585,6.126041437,6.378770837
Rcan1,7.038729452,6.813487633,7.62720014,7.109046845,7.349607718,8.456663569,6.983424961,7.104091624,6.762392987,8.153754726,6.858793467,6.517658765,1.371671746,1.371671746,1.371671746,2.015882001,2.011990664,2.118851082,7.044747284,6.633704095,6.508810583,6.130973232,5.763477048,5.883297636
Rcan2,5.745756737,5.397388488,4.96537717,5.956284923,5.892536858,5.886056035,5.518954082,4.122809418,5.853994388,6.067474986,5.722889797,6.302041303,6.057938485,6.322723368,5.294892387,7.679843443,6.504211341,6.951124843,7.208309263,6.523125689,6.884460159,7.416201359,7.009218652,6.88451763
Rcbtb1,4.87477236,5.506036074,5.027049378,4.591544559,5.452232064,4.487391368,5.189768695,4.943555875,5.021402542,4.936451576,4.340594321,5.302841901,6.166913747,6.043544165,6.246542608,5.577172877,6.048708698,5.877070674,5.154181675,4.107762856,4.891045601,4.608429072,5.198990914,4.880854549
Rcbtb2,4.293633377,4.167696694,4.244972264,4.045594184,4.954049872,4.487391368,4.699025137,4.545673745,4.307240435,4.170409058,4.691607738,4.519726227,3.842898754,5.428821758,4.916410704,4.694484842,4.368678832,5.019519767,4.204615229,5.122040199,4.367658392,4.33914254,4.093681527,4.945197493
Rchy1,4.248199168,3.198661826,3.125607127,3.738629973,5.304496398,3.462170306,6.038526338,5.881584008,5.724055106,5.418487688,6.110468533,4.992885909,6.985692597,6.934198746,7.040132759,6.603850059,7.083110989,7.069003363,5.206727264,5.152077451,5.576785861,5.098374529,5.406790719,5.305308744
Rcn2,3.622418372,4.410673645,3.601561341,3.517240473,5.355441186,4.549833282,5.384071241,5.414113968,4.757216113,5.062828825,4.526750171,5.206736978,5.514539107,5.273342352,4.603946043,5.312170197,4.874443164,5.019519767,4.204615229,3.508380306,4.367658392,4.182956258,4.475533212,4.225980678
Rcor1,4.576978038,4.681701026,3.958841857,4.513727194,5.196869963,5.142754739,4.451661244,5.011477698,5.360473861,4.532658976,4.908186926,4.559180139,4.632493393,4.456267647,4.959240231,4.610955628,4.208688631,4.332383444,3.855538603,4.856161606,4.011675331,4.26316196,4.33467709,4.326029573
Rcor3,4.462284998,5.011578056,5.027049378,5.296522642,5.018692524,4.549833282,4.937903776,4.545673745,5.244617274,5.062828825,5.172843846,4.67145383,5.47269483,5.745197458,5.962218461,5.052058426,5.47613729,5.538603881,4.568124372,4.927364131,4.800468942,5.120074776,4.777177112,5.632857495
Rdh14,6.659395942,6.960754323,6.616170989,6.970277934,6.115807491,7.017718795,6.161460689,5.917434154,6.513389797,6.307650193,5.77283054,6.477036485,6.743277692,6.870511978,7.025167736,6.444088176,6.57154489,6.800199101,6.775809612,7.086738815,6.8396754,6.842126155,6.937960515,6.61465997
Rdm1,2.89756293,1.882289541,4.137230398,3.517240473,2.775909185,3.857323664,4.489703269,4.872277635,2.407359846,2.661175272,2.657246907,4.963780061,5.811673289,4.857647467,4.959240231,5.052058426,5.220486774,5.302282889,3.855538603,3.683128023,3.746479132,3.445554571,2.956275781,3.737470682
Rdx,7.360315776,7.626741389,7.389621249,7.241678184,7.197355738,7.218476107,5.995016548,6.303461781,6.437473336,6.030211462,6.454438058,5.633719413,3.189329564,4.20406705,4.521035128,2.459655242,3.295151229,4.200825396,7.233853601,6.990272463,7.070383802,7.059862649,7.204033465,7.069088531
Recql,4.201287462,3.763054927,2.740076324,2.935782716,3.473845058,3.64490757,4.331118661,5.011477698,4.239676365,4.207366795,4.4673277,4.934074901,3.189329564,4.456267647,4.015164667,4.427819226,3.493364246,2.608633188,4.397788606,4.702259267,5.205348672,4.726303758,5.071615104,5.122614808
Reep1,6.743661845,6.42800254,6.089188201,6.199355242,6.309110877,5.910058223,5.846661839,6.176068584,6.212255928,5.803512544,6.415666958,5.302841901,6.614511744,6.82643659,6.849411869,5.781999726,7.004074042,6.186238391,6.100785803,5.751514072,6.389593331,6.214038454,6.380139501,6.355283479
Reep5,6.927834825,7.162352507,6.445986394,7.223461174,5.857621447,6.75160635,6.439294714,6.517140107,6.713423987,6.406312817,6.195321868,5.670213471,7.932816457,7.654706506,7.875467157,7.898165187,7.860782956,7.688304779,7.366793437,7.490981971,7.502602288,7.407403985,7.5688495,7.447847755
Rel,2.640545692,2.803904573,3.89411593,3.805470524,3.647418746,3.39572513,4.15292432,4.797293935,4.094244105,4.644685551,4.791897767,5.892531582,3.842898754,3.898238637,4.7567117,4.773441419,3.963366263,3.713955523,4.097374823,3.979620845,3.000833825,2.959691519,4.258731964,2.399246957
Rela,5.195168206,5.10666787,5.086192952,5.200448323,5.251686577,5.649916389,4.991917395,4.797293935,5.099708065,4.797931756,4.340594321,5.302841901,5.70728661,5.745197458,5.864713676,6.120811321,5.846081812,6.077914542,5.25742611,4.856161606,5.274281034,5.795580263,5.588393646,5.329617021
Relch,4.102623853,4.253317193,4.244972264,4.513727194,3.276495212,4.042440962,3.578024412,3.697269657,3.297763508,3.190427683,3.454044779,4.872764222,4.384282689,4.20406705,4.43306727,2.798554001,1.371671746,3.895122139,4.568124372,4.618678735,3.928577685,4.182956258,3.907279642,4.118473069
Rell1,7.011794642,6.356282145,5.443647949,6.569945057,6.456398046,6.582690873,6.06396554,6.234080665,6.194522788,5.480191275,5.999487006,6.669592892,5.670742351,5.697054976,5.481878116,5.620530825,5.809360646,5.538603881,6.740602621,6.794693141,6.293234702,6.573052197,6.397950572,6.512190138
Repin1,5.644183438,5.926689492,5.614092933,5.833543207,5.586234643,5.95689685,5.590721621,5.46345105,5.608283039,5.480191275,5.347794317,5.740543708,6.166913747,5.745197458,6.220502981,6.344167271,5.566931456,5.693471543,5.64785514,5.900508387,5.871906941,6.273342082,5.86940868,6.009031922
Reps1,5.146470047,5.279887525,4.345223994,4.591544559,4.954049872,4.924463437,4.699025137,4.718198281,4.492798065,4.748636477,4.885666909,4.934074901,5.451308589,5.022991025,5.685957533,4.610955628,5.428503473,5.095573454,4.922475423,4.334248956,5.240226514,4.835270768,4.931894548,5.065865839
Rer1,6.710543734,6.649461353,6.930467739,6.663001599,6.0859504,6.612252846,6.06396554,6.100110845,6.281085984,6.016324189,6.204449177,5.933041047,6.993111584,6.648010936,6.687757946,6.479843605,6.294362846,6.800199101,6.810177853,6.930870138,6.427917744,6.521803407,6.728699137,6.367074954
Rere,6.791955752,6.726337337,6.253007485,6.800433035,6.946340131,6.356830221,6.399881342,6.46963534,6.194522788,6.468528207,6.249239141,7.061762518,7.504810131,7.522825636,7.495883785,7.124180861,7.506622393,7.343082401,6.686126804,6.590484381,6.389593331,6.81577292,6.742705869,6.554055414
Resf1,4.961784709,5.434520934,4.933523402,5.296522642,5.304496398,5.182712068,5.44342868,5.534430501,5.244617274,4.278557808,5.380375387,7.180369674,5.028784471,5.368625433,5.020889196,5.285479123,4.512684531,4.854212702,5.25742611,4.927364131,4.800468942,5.162519943,4.979987341,5.74554999
Rest,4.989660443,4.845057513,4.364464683,3.348192456,4.661921909,5.591744938,3.578024412,3.322602624,4.047593388,3.706362943,4.660108937,5.69167486,1.371671746,1.371671746,1.980332119,2.459655242,1.371671746,1.371671746,5.375969265,4.574999627,4.307097677,4.78453612,4.658070267,4.790574715
Retreg1,7.973024669,8.582535316,8.366567229,8.50706604,8.846168938,8.629253237,8.831963595,10.45710469,9.240619087,10.61923147,8.869316255,10.40305085,7.385851334,8.313094044,8.318792054,9.233892846,7.52938011,7.790234223,9.29578098,9.421382438,9.441087406,8.774373215,8.634810472,8.823576059
Retreg2,5.146470047,4.410673645,4.68836933,4.591544559,3.276495212,5.101659137,4.823402951,4.349679511,4.549701013,4.979819072,4.638721061,4.257242644,6.057938485,5.697054976,5.760138257,6.208670987,5.732989453,5.643673547,5.04297525,5.06002183,5.274281034,5.593239891,5.557030111,5.177215762
Retsat,4.12290376,3.589546778,4.112407314,4.185669484,8.909332535,4.662637049,8.335332696,8.73754691,8.9925661,9.248183484,8.243290216,4.157942973,6.494184267,5.943925912,5.607754837,6.747670793,5.881891462,6.681828278,6.460860345,7.03173821,7.449939665,6.491655926,6.066480518,6.083249711
Rev1,6.105577513,6.534451015,6.155031585,5.985405385,6.572267012,6.106274776,6.149628068,6.661542375,6.297792365,6.585445947,6.351380885,7.199223044,6.451736597,7.250008444,7.040132759,6.727982132,6.457510512,6.186238391,6.307388092,6.998562316,6.769778524,6.376112215,6.397950572,6.672820962
Rev3l,6.118259945,5.952519554,5.443647949,6.272057805,6.456398046,5.67814554,5.986261331,6.505409755,6.212255928,5.779170588,5.97835816,6.006238829,5.514539107,6.224252414,6.60965547,5.438685552,6.079876393,5.425276811,6.233335714,6.590484381,6.479917071,6.214038454,6.168166339,6.124681228
Rex1bd,6.624261389,6.209761718,6.8215606,6.589042751,5.857621447,6.248044049,6.604431806,6.115625698,6.738116245,6.75728941,6.775502735,5.255589543,6.743277692,6.529301264,7.140754493,6.896195634,7.083110989,6.800199101,6.400559003,6.326422813,5.463277246,6.253843817,6.432926315,5.883297636
Rexo2,8.225397626,7.952106866,8.084195242,7.626089362,7.780819967,7.917036013,7.888990007,7.89752772,8.094944839,7.837459693,7.665576583,6.984167765,7.100047791,6.995192565,7.630517406,6.26440564,6.614749078,6.579600479,7.767445838,7.843683694,7.586314339,7.58174213,7.833846863,7.425467048
Rexo4,3.758262607,4.74218801,4.345223994,4.045594184,4.740683721,5.101659137,5.094232058,5.011477698,4.895348127,4.278557808,5.056690803,4.872764222,4.632493393,4.05924156,4.015164667,4.610955628,4.684740347,4.939232595,4.720455994,2.803983438,3.538029874,3.697267791,4.258731964,4.225980678
Rfc1,4.501537889,4.211142022,4.080183733,3.930522402,5.224538606,4.51895012,3.836036295,3.522064715,4.371781404,4.589759361,3.781300727,4.157942973,5.70728661,6.118564758,7.323113764,5.961328832,6.079876393,6.220611322,3.092814268,4.0451141,3.294292241,3.140443403,3.441651392,3.662901429
Rfc3,4.462284998,4.552542462,4.137230398,4.665378488,3.647418746,4.353763736,3.734499139,3.211476268,4.502631284,3.286126123,4.497344854,4.741725074,4.191381344,4.567556256,4.7567117,4.326724518,4.418295126,4.200825396,4.485468926,4.856161606,4.800468942,5.076342888,5.071615104,5.552521207
Rfc4,6.296221089,4.856047509,5.143007105,4.513727194,3.647418746,5.401676334,4.003163431,4.797293935,4.131999518,3.786704995,3.964373405,5.435967182,5.085412132,4.767279962,4.89483884,4.848300119,4.977340722,5.095573454,3.981518109,3.979620845,3.928577685,4.668569942,4.003488975,4.945197493
Rfesd,4.989660443,4.909775724,4.526974853,4.665378488,5.785148549,4.422124133,6.012630499,5.511156552,5.898486477,5.984739936,6.040838441,3.522478242,4.844203419,5.022991025,4.827427718,4.987284647,4.684740347,5.019519767,5.154181675,4.618678735,4.800468942,4.835270768,5.389089122,4.945197493
Rfk,6.464587446,6.342672599,6.200441137,6.013949668,5.080562532,6.506021966,4.244770951,5.282842887,4.433558258,4.442533468,5.412236884,5.977403826,5.514539107,5.206134262,5.607754837,5.599014727,5.275369679,6.096542805,5.569766264,6.035545508,5.731879612,5.740605498,5.991742288,6.124681228
Rfng,4.462284998,5.059906257,3.00818356,4.802594113,4.661921909,4.638703839,3.42935998,3.091070453,3.750284592,4.473205151,4.272792533,3.353240425,4.291053699,3.267415073,4.290159704,4.100427122,4.418295126,3.895122139,4.204615229,3.508380306,1.371671746,3.911518911,3.804193017,3.584266797
Rftn1,4.933359729,5.195875877,5.653733701,5.734108179,5.251686577,5.467854162,5.692092865,4.797293935,5.376290653,5.729218775,5.280338078,5.348595566,5.70728661,6.257828421,5.723524622,5.703523082,6.384496306,5.643673547,4.397788606,4.927364131,5.056739454,4.33914254,4.475533212,4.742861911
Rfwd3,4.102623853,3.763054927,3.429537117,4.34424182,2.775909185,3.95284941,3.836036295,4.451002368,4.307240435,4.207366795,3.781300727,5.103770221,4.554406978,4.567556256,4.43306727,3.303134535,4.317295203,4.200825396,4.304432686,4.702259267,4.488627598,4.545671673,4.33467709,3.737470682
Rfx7,6.013534441,5.977895277,5.936852609,6.407316542,7.133112256,6.803785205,6.184838706,6.234080665,6.063884596,5.754410862,6.446766745,6.278595458,6.473116541,6.892054794,7.154572811,6.090294113,6.635875477,5.877070674,5.685369704,5.827933799,5.521147597,5.712312054,5.278060465,5.708955251
Rgcc,6.569901191,7.309527854,6.768381724,7.856326968,6.825065521,7.5324857,7.558519404,7.472717572,7.775233751,8.163191255,7.432994194,5.807604182,7.525423336,7.377665049,7.181818614,8.863500459,6.954486306,6.991497363,7.499082596,6.403362947,7.269234559,6.979045474,6.516826663,6.995031473
Rgl2,5.644183438,5.506036074,5.573332112,5.734108179,5.49829648,5.332316308,5.817044551,5.728549833,5.736363417,5.179021811,5.671158109,6.537548875,5.385179267,5.542165967,4.3393853,5.532471392,5.522248507,5.693471543,5.444086196,5.711730587,6.078754418,5.924496276,5.707444028,5.671408055
Rgma,5.90060768,5.059906257,3.234188542,5.043159178,3.647418746,5.07345528,4.991917395,4.872277635,4.895348127,5.286550248,5.314460419,4.437426095,4.844203419,4.20406705,5.760138257,4.522291406,5.104030055,4.939232595,5.529077394,4.927364131,4.976269969,5.120074776,5.458628493,4.760850252
Rgmb,6.898726135,7.162352507,6.468390154,7.095755412,6.590031586,6.949872328,6.230488062,6.607699759,6.809754266,6.626957554,6.70007158,6.75701922,7.419279465,7.480790166,7.140754493,6.913730552,7.551784404,7.462785141,7.195365459,6.886890689,7.05086999,7.219154333,7.020760188,7.180199325
Rgs2,5.534913545,5.397388488,4.8335115,5.551448111,4.069726052,5.101659137,4.56290408,5.807095111,4.757216113,3.969926702,5.347794317,5.348595566,4.706569482,4.567556256,4.7567117,5.620530825,4.629356391,4.373291472,5.529077394,5.628713009,5.915717118,5.463448856,4.979987341,5.422950345
Rgs4,4.201287462,3.508283507,2.410505381,3.930522402,4.069726052,3.755021493,4.699025137,3.522064715,4.307240435,4.532658976,4.839544029,3.810984734,4.706569482,4.133470838,3.596298156,3.756170975,4.601275842,4.452940978,5.399636128,5.585341241,4.976269969,4.88681567,6.060454021,5.122614808
Rgs5,7.226148068,7.825035698,6.445986394,7.741535291,7.956096503,7.43659463,8.416571848,8.335394749,7.970220536,7.945313757,8.054298399,7.424227489,7.877769132,8.058769119,7.55958678,8.951022596,8.659949849,8.666814522,8.456541874,8.572283739,8.610288456,8.117679446,8.000496068,8.146895905
Rhbdd3,3.115641957,3.198661826,3.429537117,3.517240473,3.473845058,2.916172338,3.836036295,4.122809418,3.297763508,3.685558343,3.454044779,2.359410399,4.632493393,4.670871519,4.89483884,4.773441419,4.317295203,4.939232595,3.564834972,2.46423466,3.746479132,3.445554571,3.572884791,4.002304404
Rhbdf1,3.47244071,3.641285815,4.137230398,4.251396128,4.069726052,4.487391368,3.42935998,3.994421857,4.371781404,4.278557808,3.875739026,3.673931352,3.968647162,4.20406705,3.749834074,4.218008331,3.963366263,4.452940978,3.564834972,2.803983438,4.367658392,4.098027721,3.907279642,4.002304404
Rheb,8.391325984,8.292665485,8.607670278,8.204738863,7.862338723,8.522368119,8.169458385,8.274496641,8.295420647,8.344167758,8.295475765,8.217620955,2.70225921,3.267415073,3.003647009,1.371671746,2.011990664,1.371671746,7.72304054,7.603956674,7.776529136,7.799107635,7.840374879,7.701737449
Rhno1,4.613268578,4.856047509,4.609927818,4.591544559,3.047805804,4.282002341,4.41258887,4.122809418,2.831183116,3.459130587,3.680244816,4.157942973,4.632493393,4.670871519,4.3393853,4.100427122,4.909564136,5.236616384,4.304432686,4.107762856,4.976269969,4.26316196,4.931894548,5.122614808
Rhoa,6.727197819,6.928580087,7.0541193,7.154625603,6.750895356,7.302481508,7.086322637,6.858819085,7.094260719,7.451151376,7.006996955,7.455928351,7.268475403,7.19906651,7.040132759,7.446781921,7.098411756,7.160373972,1.596261278,2.018997946,1.925043066,1.858409626,2.272916359,1.599866355
Rhobtb1,6.927834825,6.027345731,7.031727535,5.097516697,6.962861914,5.732998921,4.881788998,6.08442733,5.376290653,5.850997926,5.412236884,6.75701922,5.028784471,5.542165967,4.43306727,6.36980375,4.512684531,4.667483333,7.686505205,7.316298499,6.816750661,6.788929327,6.850117879,6.378770837
